id_banner;titulo_banner;imagem_banner;imagem_celular;esta_ativo;nome;url_banner
604bae5b3fa7940021e8c725;Bolos Recheados com Desconto;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/bolos-recheados/bolos-recheados-image.png;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/bolos-recheados/bolos-recheados-image-mobile.png;True;Bolos Recheados;/bolos-recheados
604baf213fa7940021e8c87e;Doces até R$9,99;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/doces-ate-r999/doces-ate-r999-image.png;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/doces-ate-r999/doces-ate-r999-image-mobile.png;True;Doces até R$9,99;/bolos-e-doces?preco-max=9.99
604bafe43fa7940021e8c94b;Doces e Bolos em Ofertas;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/doces-e-bolos-em-ofertas/doces-e-bolos-em-ofertas-image.png;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/doces-e-bolos-em-ofertas/doces-e-bolos-em-ofertas-image-mobile.png;True;Doces e Bolos em Ofertas;/bolos-e-doces/para/promocoes
604bb02c3fa7940021e8c994;Bentô Cake;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/bento-cake/bento-cake-image.png;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/bento-cake/bento-cake-image-mobile.png;True;Bentô Cake;/bento-cake
604bb1783fa7940021e8ccbf;Comprar na Vem de Bolo é comprar de pequenos empreendedores da sua cidade!;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/pequenas-empreendedoras/pequenas-empreendedoras-image.jpeg;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/pequenas-empreendedoras/pequenas-empreendedoras-image-mobile.jpeg;False;Pequenas empreendedoras;/bolos-simples?tipos=bolos-simples--e--bolos-recheados--e--tortas-doces--e--kits--e--bolos-piscina--e--bolos-vulcao&preco-min=25
604bb1f03fa7940021e8ce4c;Frete grátis ou bolo!;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/frete-gratis/frete-gratis-image.jpeg;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/frete-gratis/frete-gratis-image-mobile.jpeg;False;Frete grátis;/bolos-e-doces/para/frete-gratis
604bb2203fa7940021e8ce5b;Compre bolos e sobremesas feitos com Moça®!;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/moca-doceria/moca-doceria-image.jpeg;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/moca-doceria/moca-doceria-image-mobile.jpeg;False;Moça Doceria;/confeitarias/moca-doceria
605b4895b6a12e002142ec24;ovos-de-pascoa-artisticos;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/ovos-artisticos/ovos-artisticos-image.jpeg;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/ovos-artisticos/ovos-artisticos-image-mobile.jpeg;False;Ovos Artísticos;/ovos-de-pascoa/para/2021-pascoa?preco-max=1000
605b494db6a12e002142ef26;receitas-nestle;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/receitas-nestle/receitas-nestle-image.jpeg;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/receitas-nestle/receitas-nestle-image-mobile.jpeg;False;Receitas Nestlé;/bolos-e-doces/para/receitas-nestle
60cc932d44240d0022d6ac09;Doces e Bolos Juninos e Caseiros;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/festa-junina/festa-junina-image.png;https://vemdebolo-imagens.s3.sa-east-1.amazonaws.com/campanhas/festa-junina/festa-junina-image-mobile.png;False;Festa Junina;/bolos-e-doces/para/festa-junina
